,Title,Year,Domestic Gross
231,Spider-Man: Into the Spider-Verse,2018,"$190,241,310"
232,Grease,1978,"$189,969,103"
233,Dunkirk,2017,"$189,740,665"
234,Wreck-It Ralph,2012,"$189,422,889"
235,A Quiet Place,2018,"$188,024,361"
236,Interstellar,2014,"$188,020,017"
237,Gladiator,2000,"$187,705,427"
238,The Polar Express,2004,"$187,224,490"
239,The Croods,2013,"$187,168,425"
240,Sherlock Holmes: A Game of Shadows,2011,"$186,848,418"
241,The Day After Tomorrow,2004,"$186,740,799"
242,Mr. &amp; Mrs. Smith,2005,"$186,336,279"
243,Snow White and the Seven Dwarfs,1937,"$184,925,486"
244,Pitch Perfect 2,2015,"$184,296,230"
245,Dances with Wolves,1990,"$184,208,848"
246,Batman Forever,1995,"$184,069,126"
247,The Fugitive,1993,"$183,875,760"
248,The Revenant,2015,"$183,637,894"
249,Ocean's Eleven,2001,"$183,417,150"
250,The Simpsons Movie,2007,"$183,135,014"
251,What Women Want,2000,"$182,811,707"
252,The Perfect Storm,2000,"$182,618,434"
253,Lincoln,2012,"$182,207,973"
254,Liar Liar,1997,"$181,410,615"
255,Jurassic Park III,2001,"$181,171,875"
256,Thor,2011,"$181,030,624"
257,Mission: Impossible,1996,"$180,981,856"
258,Ant-Man,2015,"$180,202,163"
259,Planet of the Apes,2001,"$180,011,740"
260,Madagascar: Escape 2 Africa,2008,"$180,010,950"
261,X-Men Origins: Wolverine,2009,"$179,883,157"
262,Indiana Jones and the Temple of Doom,1984,"$179,870,271"
263,Top Gun,1986,"$179,800,601"
264,Hitch,2005,"$179,495,555"
265,Men in Black 3,2012,"$179,020,854"
266,Pretty Woman,1990,"$178,406,268"
267,Home,2015,"$177,397,510"
268,Night at the Museum: Battle of the Smithsonian,2009,"$177,243,721"
269,Tootsie,1982,"$177,200,000"
270,How to Train Your Dragon 2,2014,"$177,002,924"
271,Rise of the Planet of the Apes,2011,"$176,760,185"
272,Captain America: The First Avenger,2011,"$176,654,505"
273,The Karate Kid,2010,"$176,591,618"
274,There's Something About Mary,1998,"$176,484,651"
275,Ice Age,2002,"$176,387,405"
276,The Bourne Supremacy,2004,"$176,241,941"
277,Get Out,2017,"$176,040,665"
278,The Lego Batman Movie,2017,"$175,750,384"
279,Us,2019,"$175,084,580"
280,The Boss Baby,2017,"$175,003,033"
281,Crocodile Dundee,1986,"$174,803,506"
282,Elf,2003,"$174,626,840"
283,Crazy Rich Asians,2018,"$174,532,921"
284,The Greatest Showman,2017,"$174,340,174"
