,Franchise,Total Gross,Releases,Top Release,Top Release Gross
0,Marvel Cinematic Universe,"$8,545,472,257",23,Avengers: Endgame,"$858,373,000"
1,Star Wars,"$5,079,221,177",20,Star Wars: Episode VII - The Force Awakens,"$936,662,225"
2,Disney Live Action Reimaginings,"$3,407,223,881",15,The Lion King,"$543,638,043"
3,J.K. Rowling's Wizarding World,"$2,786,941,008",26,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219"
4,Avengers,"$2,619,552,260",4,Avengers: Endgame,"$858,373,000"
5,Spider-Man,"$2,496,998,119",9,Spider-Man,"$403,706,375"
6,X-Men,"$2,434,609,697",13,Deadpool,"$363,070,709"
7,Batman,"$2,411,419,947",19,The Dark Knight,"$533,345,358"
8,Harry Potter,"$2,393,347,532",24,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219"
9,DC Extended Universe,"$2,147,685,393",8,Wonder Woman,"$412,563,408"
10,James Bond,"$2,112,905,402",25,Skyfall,"$304,360,277"
11,Jurassic Park,"$1,883,077,059",7,Jurassic World,"$652,270,625"
12,Middle Earth,"$1,852,432,231",11,The Lord of the Rings: The Return of the King,"$377,027,325"
13,The Fast and the Furious,"$1,690,757,371",9,Furious 7,"$353,007,020"
14,Transformers,"$1,582,401,601",7,Transformers: Revenge of the Fallen,"$402,111,870"
15,Pirates of the Caribbean,"$1,451,780,833",5,Pirates of the Caribbean: Dead Man's Chest,"$423,315,812"
16,The Hunger Games,"$1,451,538,526",4,The Hunger Games: Catching Fire,"$424,668,047"
17,Shrek,"$1,419,608,493",5,Shrek 2,"$441,226,247"
18,Star Trek,"$1,401,298,985",14,Star Trek,"$257,730,019"
19,Twilight,"$1,365,922,347",7,The Twilight Saga: Eclipse,"$300,531,751"
20,Toy Story,"$1,317,393,746",5,Toy Story 4,"$434,038,008"
21,Despicable Me,"$1,220,249,440",4,Despicable Me 2,"$368,065,385"
22,The Dark Knight Trilogy,"$1,190,225,564",6,The Dark Knight,"$533,345,358"
23,Mission: Impossible,"$1,155,020,930",6,Mission: Impossible - Fallout,"$220,159,104"
24,Superman,"$1,139,755,856",8,Batman v Superman: Dawn of Justice,"$330,360,194"
25,The Lord of the Rings,"$1,066,413,440",9,The Lord of the Rings: The Return of the King,"$377,027,325"
26,Iron Man,"$1,040,051,451",3,Iron Man 3,"$409,013,994"
27,Indiana Jones,"$942,303,167",7,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119"
28,Frozen,"$878,111,587",2,Frozen II,"$477,373,578"
29,The Incredibles,"$870,022,836",2,Incredibles 2,"$608,581,744"
30,Finding Nemo,"$867,138,822",3,Finding Dory,"$486,295,561"
31,Captain America,"$844,505,426",3,Captain America: Civil War,"$408,084,349"
32,Jumanji,"$821,871,357",5,Jumanji: Welcome to the Jungle,"$404,515,480"
33,The Hobbit,"$816,490,211",3,The Hobbit: An Unexpected Journey,"$303,003,568"
34,Bourne,"$801,012,974",5,The Bourne Ultimatum,"$227,471,070"
35,Planet of the Apes,"$794,023,990",9,Dawn of the Planet of the Apes,"$208,545,589"
36,Ice Age,"$793,676,582",5,Ice Age: Dawn of the Dinosaurs,"$196,573,705"
37,Rocky,"$792,040,919",9,Rocky IV,"$127,873,716"
38,Avatar,"$760,507,625",2,Avatar,"$749,766,139"
39,Star Wars Anthology,"$745,944,836",2,Rogue One: A Star Wars Story,"$532,177,324"
40,Guardians of the Galaxy,"$722,989,701",2,Guardians of the Galaxy Vol. 2,"$389,813,101"
41,Men in Black,"$703,448,488",5,Men in Black,"$250,690,539"
42,Thor,"$702,451,053",3,Thor: Ragnarok,"$315,058,289"
43,Deadpool,"$687,662,444",3,Deadpool,"$363,070,709"
44,Madagascar,"$673,848,864",4,Madagascar 3: Europe's Most Wanted,"$216,391,482"
45,Terminator,"$671,959,968",7,Terminator 2: Judgment Day,"$204,843,345"
46,Alvin and the Chipmunks,"$662,743,627",5,Alvin and the Chipmunks: The Squeakquel,"$219,614,612"
47,The Hangover,"$643,986,880",3,The Hangover,"$277,322,503"
48,The Conjuring,"$617,838,873",6,The Conjuring,"$137,400,141"
49,LEGO,"$598,599,139",4,The Lego Movie,"$257,760,692"
50,Fockers,"$593,943,805",3,Meet the Fockers,"$279,261,160"
51,Alien,"$593,013,322",10,Prometheus,"$126,477,084"
52,The Matrix,"$592,370,339",3,The Matrix Reloaded,"$281,576,461"
53,Cars,"$588,436,493",3,Cars,"$244,082,982"
54,Teenage Mutant Ninja Turtles,"$583,601,790",6,Teenage Mutant Ninja Turtles,"$191,204,754"
55,Madea,"$569,784,278",9,Madea Goes to Jail,"$90,508,336"
56,Ocean's 11,"$566,334,865",4,Ocean's Eleven,"$183,417,150"
57,"Monsters, Inc.","$558,409,020",3,Monsters University,"$268,492,764"
58,How to Train Your Dragon,"$555,383,660",3,How to Train Your Dragon,"$217,581,231"
59,The Mummy,"$550,944,126",4,The Mummy Returns,"$202,019,785"
60,Night at the Museum,"$541,853,610",3,Night at the Museum,"$250,863,268"
61,It,"$540,422,102",3,It,"$327,481,748"
62,Wolverine,"$538,717,077",3,Logan,"$226,277,068"
63,The Chronicles of Narnia,"$537,719,397",3,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$291,710,957"
64,Planet of the Apes (2011-2017),"$532,185,936",3,Dawn of the Planet of the Apes,"$208,545,589"
65,The Secret Life of Pets,"$527,258,725",2,The Secret Life of Pets,"$368,384,330"
66,Kung Fu Panda,"$524,212,273",3,Kung Fu Panda,"$215,434,591"
67,Rush Hour,"$507,477,118",3,Rush Hour 2,"$226,164,286"
68,Die Hard,"$502,951,140",6,Live Free or Die Hard,"$134,529,403"
69,Jack Ryan,"$497,036,395",5,Clear and Present Danger,"$122,187,717"
70,Home Alone,"$490,229,274",3,Home Alone,"$285,761,243"
71,Lethal Weapon,"$487,637,243",4,Lethal Weapon 2,"$147,253,986"
72,Hotel Transylvania,"$485,523,174",3,Hotel Transylvania 2,"$169,700,110"
73,Ghostbusters,"$483,427,391",6,Ghostbusters,"$229,242,989"
74,Monsterverse,"$479,229,019",3,Godzilla,"$200,676,069"
75,Austin Powers,"$473,231,964",3,Austin Powers in Goldmember,"$213,307,889"
76,Halloween,"$467,864,660",11,Halloween,"$159,342,015"
77,Godzilla,"$464,125,400",8,Godzilla,"$200,676,069"
78,Scary Movie,"$461,058,392",5,Scary Movie,"$157,019,771"
79,Saw,"$454,782,224",9,Saw II,"$87,039,965"
80,King Kong,"$443,458,502",4,King Kong,"$218,080,025"
81,Beverly Hills Cop,"$431,040,426",3,Beverly Hills Cop,"$234,760,478"
82,The Karate Kid,"$430,643,938",7,The Karate Kid,"$176,591,618"
83,Hannibal Lecter,"$425,277,003",5,Hannibal,"$165,092,268"
84,Back to the Future,"$418,437,347",6,Back to the Future,"$210,609,762"
85,Wonder Woman,"$412,563,408",1,Wonder Woman,"$412,563,408"
86,Alice in Wonderland,"$411,232,491",2,Alice in Wonderland,"$334,191,110"
87,Independence Day,"$409,313,554",2,Independence Day,"$306,169,268"
88,American Pie,"$409,241,234",4,American Pie 2,"$145,103,595"
89,Bad Boys,"$408,833,323",3,Bad Boys for Life,"$204,417,855"
90,Jaws,"$408,046,075",5,Jaws,"$260,000,000"
91,Paranormal Activity,"$401,348,020",6,Paranormal Activity,"$107,918,810"
92,Ant-Man,"$396,850,903",2,Ant-Man and the Wasp,"$216,648,740"
93,Sherlock Holmes,"$395,877,097",2,Sherlock Holmes,"$209,028,679"
